Year,Sub-Region,subregionID,Value
2001,Oceania,9,18.88217695
2001,Eastern Europe,10,28.19738686
2001,Central and Western Europe,11,32.98944247
2002,North Africa,1,6.774274554
2002,sub-Saharan Africa,2,11.76895994
2002,Central America and the Caribbean,3,6.854636494
2002,North America,4,675.6735719
2002,South America,5,35.95277738
2002,Central Asia,12,1.129135368
2002,East Asia,6,126.5571413
2002,South Asia,7,42.56341224
2002,South East Asia,8,23.69299124
2002,Oceania,9,19.49411627
2002,Eastern Europe,10,31.13412949
2002,Central and Western Europe,11,38.34183169
2003,North Africa,1,6.964694892
2003,sub-Saharan Africa,2,11.54431238
2003,Central America and the Caribbean,3,6.312731178
2003,North America,4,767.1525752
2003,South America,5,33.16297267
2003,Central Asia,12,1.324695371
2003,East Asia,6,131.9315696
2003,South Asia,7,43.16618345
2003,South East Asia,8,26.79695888
2003,Oceania,9,19.78724247
2003,Eastern Europe,10,32.93176834
2003,Central and Western Europe,11,314.1465923
2004,North Africa,1,7.523544955
2004,sub-Saharan Africa,2,11.83984596
2004,Central America and the Caribbean,3,5.663623394
2004,North America,4,835.3449259
2004,South America,5,34.61244592
2004,Central Asia,12,1.566635362
2004,East Asia,6,139.6147283
2004,South Asia,7,49.4492619
2004,South East Asia,8,26.34958362
2004,Oceania,9,2.485731586
2004,Eastern Europe,10,34.64536519
2004,Central and Western Europe,11,316.7163944
2005,North Africa,1,7.825375115
2005,sub-Saharan Africa,2,12.95253379
2005,Central America and the Caribbean,3,5.777121549
2005,North America,4,873.7432939
2005,South America,5,37.58368624
2005,Central Asia,12,1.862434498
2005,East Asia,6,147.1851374
2005,South Asia,7,51.82869347
2005,South East Asia,8,26.63127974
2005,Oceania,9,21.32627557
2005,Eastern Europe,10,39.83758543
2005,Central and Western Europe,11,315.9781736
2006,North Africa,1,7.899697851
2006,sub-Saharan Africa,2,13.97214726
2006,Central America and the Caribbean,3,5.619816484
2006,North America,4,886.8879128
2006,South America,5,38.81685442
2006,Central Asia,12,2.156332565
2006,East Asia,6,158.5734123
2006,South Asia,7,52.53572216
2006,South East Asia,8,27.59541863
2006,Oceania,9,22.2598666
2006,Eastern Europe,10,45.24455316
2006,Central and Western Europe,11,316.3116512
2007,North Africa,1,8.618752733
2007,sub-Saharan Africa,2,14.29498827
2007,Central America and the Caribbean,3,7.677362636
2007,North America,4,911.7324444
2007,South America,5,41.38318166
2007,Central Asia,12,3.148359119
2007,East Asia,6,168.3587148
2007,South Asia,7,53.46999216
2007,South East Asia,8,3.859275794
2007,Oceania,9,23.54531491
2007,Eastern Europe,10,49.98465343
2007,Central and Western Europe,11,321.5376442
2008,North Africa,1,1.585252781
2008,sub-Saharan Africa,2,15.84688826
2008,Central America and the Caribbean,3,7.276513799
2008,North America,4,978.1211459
2008,South America,5,44.92538677
2008,Central Asia,12,3.483756367
2008,East Asia,6,178.8831967
2008,South Asia,7,59.38849379
2008,South East Asia,8,31.73495166
2008,Oceania,9,24.21973797
2008,Eastern Europe,10,54.61911268
2008,Central and Western Europe,11,326.249144
2009,North Africa,1,11.13372468
2009,sub-Saharan Africa,2,16.28164452
2009,Central America and the Caribbean,3,8.292968625
2009,North America,4,154.3874611
2009,South America,5,47.76766494
2009,Central Asia,12,2.865633422
2009,East Asia,6,24.23584118
2009,South Asia,7,68.24394274
2009,South East Asia,8,34.53916155
2009,Oceania,9,26.87538333
2009,Eastern Europe,10,55.89572654
2009,Central and Western Europe,11,33.54626481
