Year,Region,regionID,Value
2022,Europe,4,515.4634551
2022,Middle East,5,166.1975256
2023,Africa,1,47.61112569
2023,Americas,2,139.7587429
2023,Asia & Oceania,3,592.7614985
2023,Europe,4,591.5611952
2023,Middle East,5,181.7679268
2024,Africa,1,5.312176197
2024,Americas,2,1112.467259
2024,Asia & Oceania,3,627.1533454
2024,Europe,4,693.8363221
2024,Middle East,5,28.54147258
2025,Africa,1,54.66516119
2025,Americas,2,138.7946946
2025,Asia & Oceania,3,677.6491997
2025,Europe,4,791.4828424
2025,Middle East,5,28.76174611
